tab 	magic_measurements
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_temp
This study	‘‘Mamainse	MP18-4	MP18	MP18-4	MP18-4:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.1	23.6		g	-41.9	1.93e-06	19	1	3.82e-08	5.81e-08	1.10e-08	u	273	0	0	868.0
This study	‘‘Mamainse	MP18-4	MP18	MP18-4	MP18-4:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.9	24.6		g	-41.3	1.61e-06	20	1	1.49e-08	1.51e-08	1.37e-08	u	273	0	0	883.0
This study	‘‘Mamainse	MP18-4	MP18	MP18-4	MP18-4:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.9	27.0		g	-42.3	1.24e-06	21	1	2.84e-08	2.90e-08	1.13e-08	u	273	0	0	898.0
This study	‘‘Mamainse	MP18-4	MP18	MP18-4	MP18-4:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	3.4	23.3		g	-42.2	1.17e-06	22	1	3.72e-08	5.78e-08	1.09e-08	u	273	0	0	913.0
This study	‘‘Mamainse	MP18-4	MP18	MP18-4	MP18-4:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.8	27.3		g	-42.5	1.16e-06	23	1	1.09e-08	8.15e-09	8.74e-09	u	273	0	0	928.0
This study	‘‘Mamainse	MP18-4	MP18	MP18-4	MP18-4:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.8	23.4		g	-40.8	8.12e-07	24	1	6.66e-09	7.37e-09	5.84e-09	u	273	0	0	938.0
This study	‘‘Mamainse	MP18-4	MP18	MP18-4	MP18-4:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.1	28.6		g	-41.8	8.05e-07	25	1	1.17e-08	8.34e-09	6.05e-09	u	273	0	0	943.0
This study	‘‘Mamainse	MP18-5	MP18	MP18-5	MP18-5:LP-DIR-T	lowensta	LT-NO:DE-VM:LP-DIR-T	pmagpy-3.4.0	2.3	36.0	average of multiple measurements	g	-61.7	6.130e-06	1	3.0	3.85e-08	1.82e-08	1.32e-08	u	273	0	0	273
This study	‘‘Mamainse	MP18-5	MP18	MP18-5	MP18-5:LP-DIR-T	lowensta	LT-AF-Z:LP-DIR-T	pmagpy-3.4.0	0.5	32.1		g	-61.0	6.10e-06	2	1	4.97e-08	2.66e-08	1.28e-08	u	273	2.000e-02	0	273
This study	‘‘Mamainse	MP18-5	MP18	MP18-5	MP18-5:LP-DIR-T	lowensta	LT-AF-Z:LP-DIR-T	pmagpy-3.4.0	0.5	34.7		g	-60.8	6.12e-06	3	1	4.65e-08	1.98e-08	1.32e-08	u	273	4.000e-02	0	273
This study	‘‘Mamainse	MP18-5	MP18	MP18-5	MP18-5:LP-DIR-T	lowensta	LT-AF-Z:LP-DIR-T	pmagpy-3.4.0	0.7	37.1		g	-60.5	6.11e-06	4	1	6.43e-08	3.78e-08	1.34e-08	u	273	6.000e-02	0	273
This study	‘‘Mamainse	MP18-5	MP18	MP18-5	MP18-5:LP-DIR-T	lowensta	LT-AF-Z:LP-DIR-T	pmagpy-3.4.0	0.7	34.1		g	-59.9	6.03e-06	5	1	3.38e-08	6.21e-08	1.25e-08	u	273	8.000e-02	0	273
This study	‘‘Mamainse	MP18-5	MP18	MP18-5	MP18-5:LP-DIR-T	lowensta	LT-AF-Z:LP-DIR-T	pmagpy-3.4.0	0.6	34.2		g	-59.7	5.89e-06	6	1	3.07e-08	5.68e-08	1.18e-08	u	273	1.000e-01	0	273
This study	‘‘Mamainse	MP18-5	MP18	MP18-5	MP18-5:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.9	36.3		g	-59.2	5.90e-06	7	1	5.88e-08	6.64e-08	1.33e-08	u	273	0	0	373.0
This study	‘‘Mamainse	MP18-5	MP18	MP18-5	MP18-5:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.6	33.7		g	-57.6	6.31e-06	8	1	1.05e-07	1.40e-07	1.57e-08	u	273	0	0	423.0
This study	‘‘Mamainse	MP18-5	MP18	MP18-5	MP18-5:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.9	33.4		g	-57.5	6.35e-06	9	1	6.78e-08	7.65e-08	1.38e-08	u	273	0	0	473.0
This study	‘‘Mamainse	MP18-5	MP18	MP18-5	MP18-5:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.8	32.7		g	-57.2	6.20e-06	10	1	5.30e-08	6.81e-08	1.30e-08	u	273	0	0	523.0
This study	‘‘Mamainse	MP18-5	MP18	MP18-5	MP18-5:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.4	30.3		g	-56.2	5.19e-06	11	1	6.17e-08	1.12e-07	1.26e-08	u	273	0	0	573.0
This study	‘‘Mamainse	MP18-5	MP18	MP18-5	MP18-5:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.1	31.6		g	-55.7	4.73e-06	12	1	4.72e-08	7.50e-08	1.03e-08	u	273	0	0	623.0
This study	‘‘Mamainse	MP18-5	MP18	MP18-5	MP18-5:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.2	30.4		g	-55.7	4.58e-06	13	1	9.81e-08	1.45e-07	1.19e-08	u	273	0	0	673.0
This study	‘‘Mamainse	MP18-5	MP18	MP18-5	MP18-5:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.4	28.6		g	-55.7	4.30e-06	14	1	5.78e-08	8.81e-08	1.09e-08	u	273	0	0	723.0
This study	‘‘Mamainse	MP18-5	MP18	MP18-5	MP18-5:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.5	27.3		g	-55.7	3.92e-06	15	1	2.43e-08	2.88e-08	9.34e-09	u	273	0	0	773.0
This study	‘‘Mamainse	MP18-5	MP18	MP18-5	MP18-5:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.6	31.3		g	-55.7	3.54e-06	16	1	2.62e-08	2.70e-08	7.82e-09	u	273	0	0	798.0
This study	‘‘Mamainse	MP18-5	MP18	MP18-5	MP18-5:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.8	29.5		g	-55.4	2.69e-06	17	1	6.50e-08	1.16e-07	6.91e-09	u	273	0	0	823.0
This study	‘‘Mamainse	MP18-5	MP18	MP18-5	MP18-5:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.4	27.9		g	-55.7	1.24e-06	18	1	1.59e-08	2.71e-08	2.43e-09	u	273	0	0	853.0
This study	‘‘Mamainse	MP18-5	MP18	MP18-5	MP18-5:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.8	27.8		g	-55.7	1.19e-06	19	1	2.75e-08	5.10e-08	3.48e-09	u	273	0	0	868.0
This study	‘‘Mamainse	MP18-5	MP18	MP18-5	MP18-5:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.7	29.4		g	-54.1	1.01e-06	20	1	1.57e-08	2.56e-08	2.70e-09	u	273	0	0	883.0
This study	‘‘Mamainse	MP18-5	MP18	MP18-5	MP18-5:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.2	30.3		g	-57.8	7.93e-07	21	1	1.01e-08	1.37e-08	1.95e-09	u	273	0	0	898.0
This study	‘‘Mamainse	MP18-5	MP18	MP18-5	MP18-5:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.3	30.5		g	-54.6	7.89e-07	22	1	1.78e-08	2.60e-08	1.86e-09	u	273	0	0	913.0
This study	‘‘Mamainse	MP18-5	MP18	MP18-5	MP18-5:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.4	33.6		g	-56.7	7.72e-07	23	1	3.84e-09	4.32e-09	1.64e-09	u	273	0	0	928.0
This study	‘‘Mamainse	MP18-5	MP18	MP18-5	MP18-5:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.7	25.3		g	-55.1	6.23e-07	24	1	4.13e-09	6.32e-09	2.10e-09	u	273	0	0	938.0
This study	‘‘Mamainse	MP18-5	MP18	MP18-5	MP18-5:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.8	29.5		g	-56.9	6.44e-07	25	1	5.21e-09	8.06e-09	1.65e-09	u	273	0	0	943.0
This study	‘‘Mamainse	MP18-6	MP18	MP18-6	MP18-6:LP-DIR-T	lowensta	LT-NO:DE-VM:LP-DIR-T	pmagpy-3.4.0	0.5	57.3	average of multiple measurements	g	-52.9	5.475e-06	1	2.0	4.26e-08	4.16e-08	1.46e-08	u	273	0	0	273
This study	‘‘Mamainse	MP18-6	MP18	MP18-6	MP18-6:LP-DIR-T	lowensta	LT-AF-Z:LP-DIR-T	pmagpy-3.4.0	0.5	57.7		g	-53.1	5.55e-06	2	1	3.99e-08	2.71e-08	1.36e-08	u	273	2.000e-02	0	273
This study	‘‘Mamainse	MP18-6	MP18	MP18-6	MP18-6:LP-DIR-T	lowensta	LT-AF-Z:LP-DIR-T	pmagpy-3.4.0	0.6	57.4		g	-53.1	5.63e-06	3	1	4.18e-08	4.37e-08	1.29e-08	u	273	4.000e-02	0	273
This study	‘‘Mamainse	MP18-6	MP18	MP18-6	MP18-6:LP-DIR-T	lowensta	LT-AF-Z:LP-DIR-T	pmagpy-3.4.0	0.6	55.0		g	-53.0	5.70e-06	4	1	3.68e-08	5.15e-08	1.26e-08	u	273	6.000e-02	0	273
This study	‘‘Mamainse	MP18-6	MP18	MP18-6	MP18-6:LP-DIR-T	lowensta	LT-AF-Z:LP-DIR-T	pmagpy-3.4.0	0.6	53.7		g	-52.9	5.76e-06	5	1	4.72e-08	4.00e-08	1.25e-08	u	273	8.000e-02	0	273
This study	‘‘Mamainse	MP18-6	MP18	MP18-6	MP18-6:LP-DIR-T	lowensta	LT-AF-Z:LP-DIR-T	pmagpy-3.4.0	0.7	49.7		g	-52.7	5.80e-06	6	1	4.32e-08	5.12e-08	1.32e-08	u	273	1.000e-01	0	273
This study	‘‘Mamainse	MP18-6	MP18	MP18-6	MP18-6:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	4.3	52.2		g	-51.9	5.83e-06	7	1	3.26e-07	2.91e-07	2.42e-08	u	273	0	0	373.0
This study	‘‘Mamainse	MP18-6	MP18	MP18-6	MP18-6:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	3.1	42.7		g	-50.1	6.39e-06	8	1	2.58e-07	2.23e-07	3.57e-08	u	273	0	0	423.0
This study	‘‘Mamainse	MP18-6	MP18	MP18-6	MP18-6:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	4.1	45.3		g	-48.8	6.36e-06	9	1	3.08e-07	3.39e-07	3.15e-08	u	273	0	0	473.0
This study	‘‘Mamainse	MP18-6	MP18	MP18-6	MP18-6:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.0	46.5		g	-49.0	6.33e-06	10	1	9.24e-08	6.31e-08	2.50e-08	u	273	0	0	523.0
This study	‘‘Mamainse	MP18-6	MP18	MP18-6	MP18-6:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.9	43.5		g	-48.4	5.03e-06	11	1	1.53e-07	2.03e-07	3.26e-08	u	273	0	0	573.0
This study	‘‘Mamainse	MP18-6	MP18	MP18-6	MP18-6:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.7	40.7		g	-48.4	4.55e-06	12	1	6.95e-08	1.14e-07	2.10e-08	u	273	0	0	623.0
This study	‘‘Mamainse	MP18-6	MP18	MP18-6	MP18-6:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.8	40.4		g	-47.8	4.33e-06	13	1	8.60e-08	1.08e-07	1.25e-08	u	273	0	0	673.0
This study	‘‘Mamainse	MP18-6	MP18	MP18-6	MP18-6:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.6	42.3		g	-47.8	3.93e-06	14	1	7.37e-08	7.89e-08	9.90e-09	u	273	0	0	723.0
This study	‘‘Mamainse	MP18-6	MP18	MP18-6	MP18-6:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.1	42.8		g	-47.7	3.38e-06	15	1	7.53e-08	9.47e-08	1.48e-08	u	273	0	0	773.0
This study	‘‘Mamainse	MP18-6	MP18	MP18-6	MP18-6:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.6	39.6		g	-47.9	2.95e-06	16	1	5.68e-08	6.23e-08	7.72e-09	u	273	0	0	798.0
This study	‘‘Mamainse	MP18-6	MP18	MP18-6	MP18-6:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.0	39.0		g	-48.0	2.28e-06	17	1	4.63e-08	6.68e-08	6.60e-09	u	273	0	0	823.0
This study	‘‘Mamainse	MP18-6	MP18	MP18-6	MP18-6:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.4	34.6		g	-47.7	1.68e-06	18	1	4.59e-08	5.17e-08	6.82e-09	u	273	0	0	853.0
This study	‘‘Mamainse	MP18-6	MP18	MP18-6	MP18-6:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.6	37.1		g	-47.6	1.29e-06	19	1	1.07e-08	9.30e-09	4.68e-09	u	273	0	0	868.0
This study	‘‘Mamainse	MP18-6	MP18	MP18-6	MP18-6:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.4	38.0		g	-47.4	1.16e-06	20	1	2.15e-08	1.84e-08	5.35e-09	u	273	0	0	883.0
This study	‘‘Mamainse	MP18-6	MP18	MP18-6	MP18-6:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.9	39.0		g	-48.1	9.74e-07	21	1	2.12e-08	2.46e-08	2.45e-09	u	273	0	0	898.0
This study	‘‘Mamainse	MP18-6	MP18	MP18-6	MP18-6:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.4	36.2		g	-45.9	9.79e-07	22	1	2.39e-08	3.43e-08	3.35e-09	u	273	0	0	913.0
This study	‘‘Mamainse	MP18-6	MP18	MP18-6	MP18-6:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.0	37.5		g	-47.4	9.74e-07	23	1	1.95e-08	2.72e-08	2.14e-09	u	273	0	0	928.0
This study	‘‘Mamainse	MP18-6	MP18	MP18-6	MP18-6:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	3.0	33.5		g	-46.6	8.24e-07	24	1	1.98e-08	3.81e-08	6.17e-09	u	273	0	0	938.0
This study	‘‘Mamainse	MP18-6	MP18	MP18-6	MP18-6:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.7	36.7		g	-47.1	8.64e-07	25	1	2.59e-08	3.18e-08	2.95e-09	u	273	0	0	943.0
