tab 	magic_measurements
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_temp
This study	‘‘Mamainse	MP18-1	MP18	MP18-1	MP18-1:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.0	2.9		g	-67.4	1.65e-06	22	1	6.42e-09	2.68e-08	3.27e-09	u	273	0	0	943.0
This study	‘‘Mamainse	MP18-2	MP18	MP18-2	MP18-2:LP-DIR-T	lowensta	LT-NO:DE-VM:LP-DIR-T	pmagpy-3.4.0	0.8	152.4	average of multiple measurements	g	-77.8	4.890e-06	1	2.0	3.08e-08	4.36e-08	5.47e-09	u	273	0	0	273
This study	‘‘Mamainse	MP18-2	MP18	MP18-2	MP18-2:LP-DIR-T	lowensta	LT-AF-Z:LP-DIR-T	pmagpy-3.4.0	0.6	152.1		g	-78.6	5.00e-06	2	1	3.82e-08	4.15e-08	5.30e-09	u	273	2.000e-02	0	273
This study	‘‘Mamainse	MP18-2	MP18	MP18-2	MP18-2:LP-DIR-T	lowensta	LT-AF-Z:LP-DIR-T	pmagpy-3.4.0	0.7	152.7		g	-80.0	5.09e-06	3	1	4.15e-08	5.02e-08	4.85e-09	u	273	4.000e-02	0	273
This study	‘‘Mamainse	MP18-2	MP18	MP18-2	MP18-2:LP-DIR-T	lowensta	LT-AF-Z:LP-DIR-T	pmagpy-3.4.0	0.7	146.3		g	-81.1	5.16e-06	4	1	4.40e-08	4.74e-08	4.74e-09	u	273	6.000e-02	0	273
This study	‘‘Mamainse	MP18-2	MP18	MP18-2	MP18-2:LP-DIR-T	lowensta	LT-AF-Z:LP-DIR-T	pmagpy-3.4.0	0.7	139.4		g	-82.1	5.20e-06	5	1	4.48e-08	4.83e-08	4.34e-09	u	273	8.000e-02	0	273
This study	‘‘Mamainse	MP18-2	MP18	MP18-2	MP18-2:LP-DIR-T	lowensta	LT-AF-Z:LP-DIR-T	pmagpy-3.4.0	0.7	130.6		g	-82.9	5.19e-06	6	1	4.32e-08	4.74e-08	4.15e-09	u	273	1.000e-01	0	273
This study	‘‘Mamainse	MP18-2	MP18	MP18-2	MP18-2:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.8	130.1		g	-83.3	5.18e-06	7	1	1.75e-08	6.59e-08	7.27e-09	u	273	0	0	373.0
This study	‘‘Mamainse	MP18-2	MP18	MP18-2	MP18-2:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.0	106.2		g	-83.7	5.54e-06	8	1	8.41e-08	4.28e-08	1.03e-08	u	273	0	0	423.0
This study	‘‘Mamainse	MP18-2	MP18	MP18-2	MP18-2:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.2	98.3		g	-84.0	5.73e-06	9	1	1.10e-07	3.83e-08	9.74e-09	u	273	0	0	473.0
This study	‘‘Mamainse	MP18-2	MP18	MP18-2	MP18-2:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.7	85.8		g	-84.0	5.66e-06	10	1	5.33e-08	4.90e-08	8.90e-09	u	273	0	0	523.0
