Sample ID	Meas. type	Treatment Type	AF X	AF Y	AF Z	Temp C	Declination: Unrotated	Inclination: Unrotated	Declination: Sample Rotated	Inclination: Sample Rotated	Declination: Formation Rotated	Inclination: Formation Rotated	Intensity	MS corr	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	X mean	Y mean	Z mean	X corr	Y corr	Z corr	X drift	Y drift	Z drift	Depth	IRM Gauss	ARM Gauss	ARM axis	Volume
BI1401.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	6.0000E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1401.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	330.00	327.38	-11.30	335.78	-55.92	335.78	-55.92	2.8788E-7	NA	46.40	26.00	0.00	0.00	1.7612E-6	-1.3592E-6	-3.8930E-8	2.3777E-6	-1.5218E-6	-5.6395E-7	6.5547E-8	1.4904E-7	-1.9990E-9	0.00	NA	NA	NA	10.00
BI1401.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	5.0413E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1401.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	360.00	324.50	-9.01	336.66	-52.31	336.66	-52.31	2.5584E-7	NA	46.40	26.00	0.00	0.00	1.4409E-6	-1.3026E-6	1.8751E-7	2.0570E-6	-1.4675E-6	-4.0056E-7	6.5926E-8	1.5131E-7	6.1050E-8	0.00	NA	NA	NA	10.00
BI1401.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	4.9597E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1401.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	390.00	314.07	3.31	342.81	-36.78	342.81	-36.78	1.1107E-7	NA	46.40	26.00	0.00	0.00	1.0234E-6	1.3528E-8	2.7472E-7	7.7122E-7	-7.9676E-7	6.4038E-8	7.0804E-8	4.9661E-7	7.2314E-8	0.00	NA	NA	NA	10.00
BI1401.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	4.0399E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1401.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	420.00	323.93	-4.08	342.63	-49.10	342.63	-49.10	1.4441E-7	NA	46.40	26.00	0.00	0.00	1.4246E-6	-4.0584E-8	1.0472E-7	1.1643E-6	-8.4815E-7	-1.0284E-7	7.8943E-8	4.9389E-7	6.9193E-8	0.00	NA	NA	NA	10.00
BI1401.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	3.0801E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1401.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	450.00	324.01	-7.74	337.98	-51.23	337.98	-51.23	2.2874E-7	NA	46.40	26.00	0.00	0.00	2.3484E-6	-8.6615E-7	-1.1135E-7	1.8338E-6	-1.3320E-6	-3.0818E-7	3.3325E-7	1.5222E-7	5.8459E-8	0.00	NA	NA	NA	10.00
BI1401.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	4.0812E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1401.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	480.00	342.06	31.68	28.81	-29.83	28.81	-29.83	1.2783E-7	NA	46.40	26.00	0.00	0.00	1.2624E-6	3.6276E-7	6.8935E-7	1.0349E-6	-3.3506E-7	6.7130E-7	4.5299E-8	4.5905E-7	1.4544E-7	0.00	NA	NA	NA	10.00
BI1401.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	4.0014E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1401.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	510.00	301.09	17.74	347.37	-17.97	347.37	-17.97	1.7000E-7	NA	46.40	26.00	0.00	0.00	7.0788E-7	-1.0207E-6	4.9759E-7	8.3608E-7	-1.3866E-6	5.1797E-7	-3.5312E-8	1.3890E-7	1.0818E-7	0.00	NA	NA	NA	10.00
BI1401.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	4.0417E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1401.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	540.00	283.64	5.11	327.11	-9.91	327.11	-9.91	2.0546E-7	NA	46.40	26.00	0.00	0.00	4.4642E-7	-1.6291E-6	1.2427E-7	4.8255E-7	-1.9888E-6	1.8299E-7	5.6757E-8	1.3265E-7	6.9840E-8	0.00	NA	NA	NA	10.00
BI1401.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	4.0000E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1401.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	570.00	303.54	21.57	352.03	-17.50	352.03	-17.50	1.3235E-7	NA	46.40	26.00	0.00	0.00	6.2288E-7	-6.7498E-7	4.4591E-7	6.8010E-7	-1.0259E-6	4.8647E-7	3.5665E-8	1.2383E-7	8.7999E-8	0.00	NA	NA	NA	10.00
BI1401.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	3.9586E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1401.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	600.00	281.95	12.64	333.04	-4.91	333.04	-4.91	1.7717E-7	NA	46.40	26.00	0.00	0.00	3.4170E-7	-1.3980E-6	5.3482E-7	3.5784E-7	-1.6913E-6	3.8771E-7	7.3142E-8	5.1220E-8	6.3377E-9	0.00	NA	NA	NA	10.00
BI1401.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	4.0014E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1401.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	630.00	62.83	-47.56	177.74	-36.90	177.74	-36.90	5.0620E-8	NA	46.40	26.00	0.00	0.00	1.5232E-7	6.2122E-7	-2.4616E-7	1.5597E-7	3.0390E-7	-3.7357E-7	8.5624E-8	7.5222E-8	-1.3358E-8	0.00	NA	NA	NA	10.00
BI1401.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	4.9600E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1401.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	660.00	192.07	-78.40	228.89	-14.63	228.89	-14.63	8.7508E-8	NA	46.40	26.00	0.00	0.00	-1.6592E-7	3.1506E-7	-7.4834E-7	-1.7210E-7	-3.6807E-8	-8.5720E-7	9.5458E-8	1.0977E-7	-3.1914E-8	0.00	NA	NA	NA	10.00
BI1401.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	3.9197E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
BI1401.2	SAMPLE/DISCRETE	Thermal Demag	0	0	0	690.00	326.83	-0.26	349.95	-48.97	349.95	-48.97	1.0711E-7	NA	46.40	26.00	0.00	0.00	1.2084E-6	-2.5881E-7	1.2240E-7	8.9656E-7	-5.8602E-7	-4.9320E-9	4.0108E-7	8.5113E-8	-1.3438E-8	0.00	NA	NA	NA	10.00
BI1401.2	SAMPLE/DISCRETE	None	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	4.9600E+0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	NA	10.00
