tab 	er_locations
plate_block	location_type	er_citation_names	continent_ocean	location_end_lat	location_begin_lon	er_location_name	location_begin_lat	location_end_lon
African Plate	Drill Site	This study	Atlantic Ocean	-27	355	DSDP Site 522	-27	355
>>>>>>>>>>
tab 	er_samples
er_citation_names	er_site_name	er_sample_name	sample_core_depth	er_location_name	magic_method_codes
This study	15-2-040	15-2-040	57	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-2-043	15-2-043	57.03	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-2-046	15-2-046	57.05	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-2-050	15-2-050	57.09	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-2-055	15-2-055	57.14	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-2-058	15-2-058	57.18	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-2-061	15-2-061	57.2	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-2-064	15-2-064	57.23	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-2-067	15-2-067	57.26	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-2-070	15-2-070	57.29	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-2-073	15-2-073	57.32	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-2-076	15-2-076	57.36	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-2-079	15-2-079	57.39	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-2-082	15-2-082	57.42	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-2-085	15-2-085	57.45	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-2-088	15-2-088	57.48	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-2-091	15-2-091	57.51	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-2-095	15-2-095	57.54	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-2-098	15-2-098	57.57	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-2-101	15-2-101	57.6	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-2-104	15-2-104	57.63	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-2-107	15-2-107	57.66	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-2-109	15-2-109	57.68	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-2-113	15-2-113	57.73	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-2-116	15-2-116	57.76	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-2-119	15-2-119	57.79	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-2-123	15-2-123	57.82	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-2-126	15-2-126	57.85	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-2-128	15-2-128	57.88	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-2-132	15-2-132	57.91	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-2-135	15-2-135	57.94	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-2-138	15-2-138	57.97	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-2-141	15-2-141	58	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-2-143	15-2-143	58.03	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-2-147	15-2-147	58.06	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-2-150	15-2-150	58.09	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-3-001	15-3-001	58.1	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-3-004	15-3-004	58.14	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-3-007	15-3-007	58.17	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-3-010	15-3-010	58.2	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-3-013	15-3-013	58.23	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-3-015	15-3-015	58.25	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-3-019	15-3-019	58.29	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-3-022	15-3-022	58.32	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-3-025	15-3-025	58.34	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-3-028	15-3-028	58.38	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-3-031	15-3-031	58.41	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-3-035	15-3-035	58.44	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-3-038	15-3-038	58.47	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-3-041	15-3-041	58.5	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-3-044	15-3-044	58.53	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-3-047	15-3-047	58.56	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-3-051	15-3-051	58.61	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-3-054	15-3-054	58.63	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-3-057	15-3-057	58.66	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-3-061	15-3-061	58.71	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-3-064	15-3-064	58.73	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-3-067	15-3-067	58.76	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-3-071	15-3-071	58.8	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-3-075	15-3-075	58.84	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-3-078	15-3-078	58.87	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
This study	15-3-080	15-3-080	58.9	DSDP Site 522	FS-C-DRILL-IODP:SP-SS-C:SO-V
