name	row_number	problem_type	problem_col	error_message
0	0	value	type	"Scanning SQUID Microscopy" is not in controlled vocabulary for image_type
1	1	value	type	"Scanning SQUID Microscopy" is not in controlled vocabulary for image_type
2	2	value	type	"Scanning SQUID Microscopy" is not in controlled vocabulary for image_type
3	3	value	type	"Scanning SQUID Microscopy" is not in controlled vocabulary for image_type
4	4	value	type	"Scanning SQUID Microscopy" is not in controlled vocabulary for image_type
5	5	value	type	"Scanning SQUID Microscopy" is not in controlled vocabulary for image_type
6	6	value	type	"Scanning SQUID Microscopy" is not in controlled vocabulary for image_type
7	7	value	type	"Scanning SQUID Microscopy" is not in controlled vocabulary for image_type
8	8	value	type	"Scanning SQUID Microscopy" is not in controlled vocabulary for image_type
