tab 	pmag_specimens
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_alpha95	specimen_comp_name	specimen_correction	specimen_dang	specimen_dec	specimen_description	specimen_direction_type	specimen_inc	specimen_mad	specimen_n	specimen_tilt_correction
	This study	U1361A	318-U1361A-001H-3-W-90	318-U1361A-001H-3-W-90	318-U1361A-001H-3-W-90	318-U1361A-001H-3-W-90:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	8.00E-02	5.00E-03	T		A	u	2.4	84.7		l	-69.8	1.5	8	-1
	This study	U1361A	318-U1361A-001H-4-W-50	318-U1361A-001H-4-W-50	318-U1361A-001H-4-W-50	318-U1361A-001H-4-W-50:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.00E-01	1.00E-02	T		A	u	2	89.5		l	-73.2	1	8	-1
	This study	U1361A	318-U1361A-001H-5-W-59	318-U1361A-001H-5-W-59	318-U1361A-001H-5-W-59	318-U1361A-001H-5-W-59:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.00E-01	1.00E-02	T		A	u	1.5	88.7		l	-83.9	0.8	8	-1
	This study	U1361A	318-U1361A-001H-6-W-60	318-U1361A-001H-6-W-60	318-U1361A-001H-6-W-60	318-U1361A-001H-6-W-60:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.00E-01	1.00E-02	T		A	u	1.2	74.8		l	-80.6	1.4	8	-1
	This study	U1361A	318-U1361A-002H-4-W-84	318-U1361A-002H-4-W-84	318-U1361A-002H-4-W-84	318-U1361A-002H-4-W-84:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.80E-01	2.00E-02	T		A	u	3.3	328.8		l	75.7	3.2	9	-1
	This study	U1361A	318-U1361A-002H-4-W-94	318-U1361A-002H-4-W-94	318-U1361A-002H-4-W-94	318-U1361A-002H-4-W-94:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	8.00E-02	1.50E-02	T		A	u	5.4	199.3		l	82.9	3.6	6	-1
	This study	U1361A	318-U1361A-002H-4-W-114	318-U1361A-002H-4-W-114	318-U1361A-002H-4-W-114	318-U1361A-002H-4-W-114:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.50E-01	5.00E-03	T		A	u	0.9	187		l	87.7	2.2	11	-1
	This study	U1361A	318-U1361A-002H-5-W-25	318-U1361A-002H-5-W-25	318-U1361A-002H-5-W-25	318-U1361A-002H-5-W-25:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.80E-01	1.00E-02	T		A	u	5	220.4		l	71.7	5.3	11	-1
	This study	U1361A	318-U1361A-002H-5-W-53	318-U1361A-002H-5-W-53	318-U1361A-002H-5-W-53	318-U1361A-002H-5-W-53:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.20E-01	1.00E-02	T		A	u	3.5	222.8		l	74.3	3.5	9	-1
	This study	U1361A	318-U1361A-002H-5-W-84	318-U1361A-002H-5-W-84	318-U1361A-002H-5-W-84	318-U1361A-002H-5-W-84:LP-DIR-AF	LP-DIR-AF:DE-BFL	pmagpy-2.77	1.80E-01	1.00E-02	T		A	u	2.3	225.6		l	79.1	2.2	11	-1
