tab 	er_ages
age	age_description	age_unit	er_citation_names	er_location_name	er_sample_name	er_site_name	magic_method_codes
2.74	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_2A-0.25	318-U1361A-007H_2A-0.25	GM-INT:GM-POL:GM-FOSSIL
2.74	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_2A-0.3	318-U1361A-007H_2A-0.3	GM-INT:GM-POL:GM-FOSSIL
2.75	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_2A-0.35	318-U1361A-007H_2A-0.35	GM-INT:GM-POL:GM-FOSSIL
2.75	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_2A-0.4	318-U1361A-007H_2A-0.4	GM-INT:GM-POL:GM-FOSSIL
2.75	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_2A-0.45	318-U1361A-007H_2A-0.45	GM-INT:GM-POL:GM-FOSSIL
2.75	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_2A-0.5	318-U1361A-007H_2A-0.5	GM-INT:GM-POL:GM-FOSSIL
2.75	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_2A-0.55	318-U1361A-007H_2A-0.55	GM-INT:GM-POL:GM-FOSSIL
2.75	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_2A-0.6	318-U1361A-007H_2A-0.6	GM-INT:GM-POL:GM-FOSSIL
2.76	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_2A-0.65	318-U1361A-007H_2A-0.65	GM-INT:GM-POL:GM-FOSSIL
2.76	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_2A-0.7	318-U1361A-007H_2A-0.7	GM-INT:GM-POL:GM-FOSSIL
2.76	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_2A-0.75	318-U1361A-007H_2A-0.75	GM-INT:GM-POL:GM-FOSSIL
2.76	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_2A-0.8	318-U1361A-007H_2A-0.8	GM-INT:GM-POL:GM-FOSSIL
2.76	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_2A-0.85	318-U1361A-007H_2A-0.85	GM-INT:GM-POL:GM-FOSSIL
2.77	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_2A-0.9	318-U1361A-007H_2A-0.9	GM-INT:GM-POL:GM-FOSSIL
2.77	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_2A-0.95	318-U1361A-007H_2A-0.95	GM-INT:GM-POL:GM-FOSSIL
2.77	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_2A-1	318-U1361A-007H_2A-1	GM-INT:GM-POL:GM-FOSSIL
2.77	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_2A-1.05	318-U1361A-007H_2A-1.05	GM-INT:GM-POL:GM-FOSSIL
2.77	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_2A-1.1	318-U1361A-007H_2A-1.1	GM-INT:GM-POL:GM-FOSSIL
2.78	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_2A-1.15	318-U1361A-007H_2A-1.15	GM-INT:GM-POL:GM-FOSSIL
2.78	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_2A-1.2	318-U1361A-007H_2A-1.2	GM-INT:GM-POL:GM-FOSSIL
2.78	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_2A-1.25	318-U1361A-007H_2A-1.25	GM-INT:GM-POL:GM-FOSSIL
2.78	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_2A-1.3	318-U1361A-007H_2A-1.3	GM-INT:GM-POL:GM-FOSSIL
2.78	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_2A-1.35	318-U1361A-007H_2A-1.35	GM-INT:GM-POL:GM-FOSSIL
2.79	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_2A-1.4	318-U1361A-007H_2A-1.4	GM-INT:GM-POL:GM-FOSSIL
2.79	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_3A-0.1	318-U1361A-007H_3A-0.1	GM-INT:GM-POL:GM-FOSSIL
2.80	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_3A-0.15	318-U1361A-007H_3A-0.15	GM-INT:GM-POL:GM-FOSSIL
2.80	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_3A-0.2	318-U1361A-007H_3A-0.2	GM-INT:GM-POL:GM-FOSSIL
2.80	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_3A-0.25	318-U1361A-007H_3A-0.25	GM-INT:GM-POL:GM-FOSSIL
2.80	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_3A-0.3	318-U1361A-007H_3A-0.3	GM-INT:GM-POL:GM-FOSSIL
2.80	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_3A-0.35	318-U1361A-007H_3A-0.35	GM-INT:GM-POL:GM-FOSSIL
2.81	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_3A-0.4	318-U1361A-007H_3A-0.4	GM-INT:GM-POL:GM-FOSSIL
2.81	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_3A-0.45	318-U1361A-007H_3A-0.45	GM-INT:GM-POL:GM-FOSSIL
2.81	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_3A-0.5	318-U1361A-007H_3A-0.5	GM-INT:GM-POL:GM-FOSSIL
2.81	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_3A-0.55	318-U1361A-007H_3A-0.55	GM-INT:GM-POL:GM-FOSSIL
2.81	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_3A-0.6	318-U1361A-007H_3A-0.6	GM-INT:GM-POL:GM-FOSSIL
2.82	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_3A-0.65	318-U1361A-007H_3A-0.65	GM-INT:GM-POL:GM-FOSSIL
2.82	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_3A-0.7	318-U1361A-007H_3A-0.7	GM-INT:GM-POL:GM-FOSSIL
2.82	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_3A-0.75	318-U1361A-007H_3A-0.75	GM-INT:GM-POL:GM-FOSSIL
2.82	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_3A-0.8	318-U1361A-007H_3A-0.8	GM-INT:GM-POL:GM-FOSSIL
2.82	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_3A-0.85	318-U1361A-007H_3A-0.85	GM-INT:GM-POL:GM-FOSSIL
2.83	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_3A-0.9	318-U1361A-007H_3A-0.9	GM-INT:GM-POL:GM-FOSSIL
2.83	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_3A-0.95	318-U1361A-007H_3A-0.95	GM-INT:GM-POL:GM-FOSSIL
2.83	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_3A-1	318-U1361A-007H_3A-1	GM-INT:GM-POL:GM-FOSSIL
2.83	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_3A-1.05	318-U1361A-007H_3A-1.05	GM-INT:GM-POL:GM-FOSSIL
2.83	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_3A-1.1	318-U1361A-007H_3A-1.1	GM-INT:GM-POL:GM-FOSSIL
2.84	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_3A-1.15	318-U1361A-007H_3A-1.15	GM-INT:GM-POL:GM-FOSSIL
2.84	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_3A-1.2	318-U1361A-007H_3A-1.2	GM-INT:GM-POL:GM-FOSSIL
2.84	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_3A-1.25	318-U1361A-007H_3A-1.25	GM-INT:GM-POL:GM-FOSSIL
2.84	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_3A-1.3	318-U1361A-007H_3A-1.3	GM-INT:GM-POL:GM-FOSSIL
2.84	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_3A-1.35	318-U1361A-007H_3A-1.35	GM-INT:GM-POL:GM-FOSSIL
2.85	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_3A-1.4	318-U1361A-007H_3A-1.4	GM-INT:GM-POL:GM-FOSSIL
2.85	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_4A-0.1	318-U1361A-007H_4A-0.1	GM-INT:GM-POL:GM-FOSSIL
2.85	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_4A-0.15	318-U1361A-007H_4A-0.15	GM-INT:GM-POL:GM-FOSSIL
2.86	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_4A-0.2	318-U1361A-007H_4A-0.2	GM-INT:GM-POL:GM-FOSSIL
2.86	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_4A-0.25	318-U1361A-007H_4A-0.25	GM-INT:GM-POL:GM-FOSSIL
2.86	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_4A-0.3	318-U1361A-007H_4A-0.3	GM-INT:GM-POL:GM-FOSSIL
2.86	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_4A-0.35	318-U1361A-007H_4A-0.35	GM-INT:GM-POL:GM-FOSSIL
2.86	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_4A-0.4	318-U1361A-007H_4A-0.4	GM-INT:GM-POL:GM-FOSSIL
2.87	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_4A-0.45	318-U1361A-007H_4A-0.45	GM-INT:GM-POL:GM-FOSSIL
2.87	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_4A-0.6	318-U1361A-007H_4A-0.6	GM-INT:GM-POL:GM-FOSSIL
2.87	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_4A-0.65	318-U1361A-007H_4A-0.65	GM-INT:GM-POL:GM-FOSSIL
2.88	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_4A-0.7	318-U1361A-007H_4A-0.7	GM-INT:GM-POL:GM-FOSSIL
2.88	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_4A-0.75	318-U1361A-007H_4A-0.75	GM-INT:GM-POL:GM-FOSSIL
2.88	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_4A-0.8	318-U1361A-007H_4A-0.8	GM-INT:GM-POL:GM-FOSSIL
2.88	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_4A-0.85	318-U1361A-007H_4A-0.85	GM-INT:GM-POL:GM-FOSSIL
2.88	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_4A-0.9	318-U1361A-007H_4A-0.9	GM-INT:GM-POL:GM-FOSSIL
2.89	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_4A-0.95	318-U1361A-007H_4A-0.95	GM-INT:GM-POL:GM-FOSSIL
2.89	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_4A-1	318-U1361A-007H_4A-1	GM-INT:GM-POL:GM-FOSSIL
2.89	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_4A-1.05	318-U1361A-007H_4A-1.05	GM-INT:GM-POL:GM-FOSSIL
2.89	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_4A-1.1	318-U1361A-007H_4A-1.1	GM-INT:GM-POL:GM-FOSSIL
2.89	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_4A-1.15	318-U1361A-007H_4A-1.15	GM-INT:GM-POL:GM-FOSSIL
2.90	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_4A-1.2	318-U1361A-007H_4A-1.2	GM-INT:GM-POL:GM-FOSSIL
2.90	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_4A-1.25	318-U1361A-007H_4A-1.25	GM-INT:GM-POL:GM-FOSSIL
2.90	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_4A-1.3	318-U1361A-007H_4A-1.3	GM-INT:GM-POL:GM-FOSSIL
2.90	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_4A-1.35	318-U1361A-007H_4A-1.35	GM-INT:GM-POL:GM-FOSSIL
2.90	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_4A-1.4	318-U1361A-007H_4A-1.4	GM-INT:GM-POL:GM-FOSSIL
2.91	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_5A-0.1	318-U1361A-007H_5A-0.1	GM-INT:GM-POL:GM-FOSSIL
2.91	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_5A-0.15	318-U1361A-007H_5A-0.15	GM-INT:GM-POL:GM-FOSSIL
2.92	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_5A-0.2	318-U1361A-007H_5A-0.2	GM-INT:GM-POL:GM-FOSSIL
2.92	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_5A-0.25	318-U1361A-007H_5A-0.25	GM-INT:GM-POL:GM-FOSSIL
2.92	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_5A-0.3	318-U1361A-007H_5A-0.3	GM-INT:GM-POL:GM-FOSSIL
2.92	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_5A-0.35	318-U1361A-007H_5A-0.35	GM-INT:GM-POL:GM-FOSSIL
2.92	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_5A-0.4	318-U1361A-007H_5A-0.4	GM-INT:GM-POL:GM-FOSSIL
2.93	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_5A-0.45	318-U1361A-007H_5A-0.45	GM-INT:GM-POL:GM-FOSSIL
2.93	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_5A-0.5	318-U1361A-007H_5A-0.5	GM-INT:GM-POL:GM-FOSSIL
2.93	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_5A-0.55	318-U1361A-007H_5A-0.55	GM-INT:GM-POL:GM-FOSSIL
2.93	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_5A-0.6	318-U1361A-007H_5A-0.6	GM-INT:GM-POL:GM-FOSSIL
2.93	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_5A-0.65	318-U1361A-007H_5A-0.65	GM-INT:GM-POL:GM-FOSSIL
2.94	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_5A-0.7	318-U1361A-007H_5A-0.7	GM-INT:GM-POL:GM-FOSSIL
2.94	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_5A-0.75	318-U1361A-007H_5A-0.75	GM-INT:GM-POL:GM-FOSSIL
2.94	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_5A-0.8	318-U1361A-007H_5A-0.8	GM-INT:GM-POL:GM-FOSSIL
2.94	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_5A-0.85	318-U1361A-007H_5A-0.85	GM-INT:GM-POL:GM-FOSSIL
2.94	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_5A-0.9	318-U1361A-007H_5A-0.9	GM-INT:GM-POL:GM-FOSSIL
2.94	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_5A-0.95	318-U1361A-007H_5A-0.95	GM-INT:GM-POL:GM-FOSSIL
2.95	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_5A-1	318-U1361A-007H_5A-1	GM-INT:GM-POL:GM-FOSSIL
2.95	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_5A-1.05	318-U1361A-007H_5A-1.05	GM-INT:GM-POL:GM-FOSSIL
2.95	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_5A-1.1	318-U1361A-007H_5A-1.1	GM-INT:GM-POL:GM-FOSSIL
2.95	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_5A-1.15	318-U1361A-007H_5A-1.15	GM-INT:GM-POL:GM-FOSSIL
2.95	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_5A-1.2	318-U1361A-007H_5A-1.2	GM-INT:GM-POL:GM-FOSSIL
2.96	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_5A-1.25	318-U1361A-007H_5A-1.25	GM-INT:GM-POL:GM-FOSSIL
2.96	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_5A-1.3	318-U1361A-007H_5A-1.3	GM-INT:GM-POL:GM-FOSSIL
2.96	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_5A-1.35	318-U1361A-007H_5A-1.35	GM-INT:GM-POL:GM-FOSSIL
2.96	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_5A-1.4	318-U1361A-007H_5A-1.4	GM-INT:GM-POL:GM-FOSSIL
2.97	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_6A-0.1	318-U1361A-007H_6A-0.1	GM-INT:GM-POL:GM-FOSSIL
2.97	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_6A-0.15	318-U1361A-007H_6A-0.15	GM-INT:GM-POL:GM-FOSSIL
2.97	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_6A-0.2	318-U1361A-007H_6A-0.2	GM-INT:GM-POL:GM-FOSSIL
2.98	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_6A-0.25	318-U1361A-007H_6A-0.25	GM-INT:GM-POL:GM-FOSSIL
2.98	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_6A-0.3	318-U1361A-007H_6A-0.3	GM-INT:GM-POL:GM-FOSSIL
2.98	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_6A-0.35	318-U1361A-007H_6A-0.35	GM-INT:GM-POL:GM-FOSSIL
2.98	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_6A-0.4	318-U1361A-007H_6A-0.4	GM-INT:GM-POL:GM-FOSSIL
2.98	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_6A-0.45	318-U1361A-007H_6A-0.45	GM-INT:GM-POL:GM-FOSSIL
2.99	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_6A-0.5	318-U1361A-007H_6A-0.5	GM-INT:GM-POL:GM-FOSSIL
2.99	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_6A-0.55	318-U1361A-007H_6A-0.55	GM-INT:GM-POL:GM-FOSSIL
2.99	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_6A-0.6	318-U1361A-007H_6A-0.6	GM-INT:GM-POL:GM-FOSSIL
2.99	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_6A-0.65	318-U1361A-007H_6A-0.65	GM-INT:GM-POL:GM-FOSSIL
2.99	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_6A-0.7	318-U1361A-007H_6A-0.7	GM-INT:GM-POL:GM-FOSSIL
3.00	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_6A-0.75	318-U1361A-007H_6A-0.75	GM-INT:GM-POL:GM-FOSSIL
3.00	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_6A-0.8	318-U1361A-007H_6A-0.8	GM-INT:GM-POL:GM-FOSSIL
3.00	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_6A-0.85	318-U1361A-007H_6A-0.85	GM-INT:GM-POL:GM-FOSSIL
3.00	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_6A-0.9	318-U1361A-007H_6A-0.9	GM-INT:GM-POL:GM-FOSSIL
3.00	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_6A-0.95	318-U1361A-007H_6A-0.95	GM-INT:GM-POL:GM-FOSSIL
3.01	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_6A-1	318-U1361A-007H_6A-1	GM-INT:GM-POL:GM-FOSSIL
3.01	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_6A-1.05	318-U1361A-007H_6A-1.05	GM-INT:GM-POL:GM-FOSSIL
3.01	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_6A-1.1	318-U1361A-007H_6A-1.1	GM-INT:GM-POL:GM-FOSSIL
3.01	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_6A-1.15	318-U1361A-007H_6A-1.15	GM-INT:GM-POL:GM-FOSSIL
3.01	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_6A-1.2	318-U1361A-007H_6A-1.2	GM-INT:GM-POL:GM-FOSSIL
3.01	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_6A-1.25	318-U1361A-007H_6A-1.25	GM-INT:GM-POL:GM-FOSSIL
3.02	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_6A-1.3	318-U1361A-007H_6A-1.3	GM-INT:GM-POL:GM-FOSSIL
3.02	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_6A-1.35	318-U1361A-007H_6A-1.35	GM-INT:GM-POL:GM-FOSSIL
3.02	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_6A-1.4	318-U1361A-007H_6A-1.4	GM-INT:GM-POL:GM-FOSSIL
3.03	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_7A-0.1	318-U1361A-007H_7A-0.1	GM-INT:GM-POL:GM-FOSSIL
3.03	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_7A-0.15	318-U1361A-007H_7A-0.15	GM-INT:GM-POL:GM-FOSSIL
3.03	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_7A-0.2	318-U1361A-007H_7A-0.2	GM-INT:GM-POL:GM-FOSSIL
3.03	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_7A-0.25	318-U1361A-007H_7A-0.25	GM-INT:GM-POL:GM-FOSSIL
3.04	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_7A-0.3	318-U1361A-007H_7A-0.3	GM-INT:GM-POL:GM-FOSSIL
3.04	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_7A-0.35	318-U1361A-007H_7A-0.35	GM-INT:GM-POL:GM-FOSSIL
3.04	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_7A-0.4	318-U1361A-007H_7A-0.4	GM-INT:GM-POL:GM-FOSSIL
3.04	interpolation between pmag and biostrat tie points	Ma	This study:10.1029/2012PA002308	U1361A	318-U1361A-007H_7A-0.45	318-U1361A-007H_7A-0.45	GM-INT:GM-POL:GM-FOSSIL
