Exp,Site,Hole,Core,Type,Sect,A/W,Offset (cm),Depth CSF-A (m),Depth CSF-B (m),Demag level (mT),Inclination background &amp; tray corrected (deg),Declination background &amp; tray corrected (deg),Intensity background &amp; tray corrected (A/m),Inclination raw (deg),Declination raw (deg),Intensity raw (A/m),Magnetic moment x (Am&sup2;),Magnetic moment y (Am&sup2;),Magnetic moment z (Am&sup2;),Sample orientation,Raw data,Timestamp (UTC),Instrument,Text ID,Test No.,Comments
XXX,UTEST,A,1,H,1,A,0,0,0,5,-41.1,93.8,0.02307,-41,93.7,0.023108,-1.08E-07,1.68E-06,-2.35E-06,Single Line,28991901,4/10/15 6:45,SRM,SHLF6601351,75372821,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,5,0.05,0.05,5,-4.3,12.7,0.0028641,-4.3,12.7,0.0028607,2.63E-07,6.09E-08,-3.29E-08,,,4/10/15 6:45,SRM,SHLF6601351,75372821,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,10,0.1,0.099,5,22.2,290.8,0.03021,22.2,290.8,0.030219,9.40E-07,-2.53E-06,1.76E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372821,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,15,0.15,0.149,5,19.9,280.6,0.031561,19.9,280.6,0.03157,5.18E-07,-2.82E-06,1.66E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372821,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,20,0.2,0.198,5,66.8,292.2,0.0092756,66.7,292.1,0.0092806,1.31E-07,-3.28E-07,1.32E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372821,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,25,0.25,0.248,5,12.5,298.8,0.017416,12.5,298.8,0.017426,7.76E-07,-1.44E-06,5.82E-07,,,4/10/15 6:45,SRM,SHLF6601351,75372821,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,30,0.3,0.297,5,42.3,271.1,0.011351,42.2,271,0.011361,1.44E-08,-8.14E-07,1.18E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372821,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,35,0.35,0.347,5,46.6,331,0.016215,46.6,331,0.016218,9.22E-07,-5.23E-07,1.82E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372821,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,40,0.4,0.396,5,36.4,324.8,0.015431,36.3,324.7,0.015437,9.60E-07,-6.95E-07,1.42E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372821,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,45,0.45,0.446,5,33,188.7,0.0086007,33,188.8,0.0086051,-6.75E-07,-1.07E-07,7.25E-07,,,4/10/15 6:45,SRM,SHLF6601351,75372821,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,50,0.5,0.496,5,48,254.7,0.015921,48,254.7,0.015933,-2.67E-07,-9.95E-07,1.83E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372821,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,55,0.55,0.545,5,68.3,350.9,0.019952,68.3,350.8,0.019951,6.90E-07,-1.15E-07,2.87E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372821,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,60,0.6,0.595,5,68.1,17.6,0.029977,68.1,17.5,0.029975,1.01E-06,3.25E-07,4.30E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372821,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,65,0.65,0.644,5,67.8,16.5,0.045005,67.8,16.5,0.045001,1.54E-06,4.66E-07,6.44E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372821,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,70,0.7,0.694,5,65.1,21.5,0.048562,65.1,21.5,0.048558,1.80E-06,7.23E-07,6.81E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372821,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,75,0.75,0.743,5,67.2,2.9,0.036299,67.2,2.8,0.036298,1.33E-06,6.76E-08,5.18E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372821,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,80,0.8,0.793,5,77.8,2.6,0.023242,77.8,2.3,0.023242,4.63E-07,1.91E-08,3.51E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372821,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,85,0.85,0.843,5,83.6,49.2,0.017932,83.6,48.9,0.017932,1.24E-07,1.45E-07,2.76E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372821,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,90,0.9,0.892,5,73.7,18.5,0.020007,73.7,18.3,0.020006,5.05E-07,1.70E-07,2.97E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372821,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,95,0.95,0.942,5,63.4,12.8,0.028205,63.5,12.7,0.028203,1.16E-06,2.69E-07,3.90E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372821,Auto-Log Split Section
XXX,UTEST,A,1,H,1,A,100,1,0.991,5,65.1,9.2,0.033615,65.1,9,0.033613,1.32E-06,2.15E-07,4.72E-06,,,4/10/15 6:45,SRM,SHLF6601351,75372821,Auto-Log Split Section
