J99-1-2_200,  312.6,  -35.1,    3.562,     1.972,   -2.145,   -2.048, 
J99-4-2_200,  312.0,  -35.0,    1.418,     0.777,   -0.863,   -0.813, 
J99-1-3_200,  312.5,  -33.6,    2.260,     1.272,   -1.388,   -1.252, 
J99-2-1_200,  291.6,  -31.3,    0.856,     0.269,   -0.681,   -0.445, 
J99-4-1_200,  312.4,  -34.6,    1.507,     0.837,   -0.916,   -0.855, 
Cup-2-1_200,  311.6,  -35.1,    2.892,     1.570,   -1.770,   -1.663, 
J99-1-4_200,  295.6,  -27.2,    0.803,     0.309,   -0.644,   -0.367, 
Cup-1-2_200,  308.8,  -35.7,    9.445,     4.811,   -5.979,   -5.506, 
Cup-1-3_200,  313.8,  -36.0,    7.641,     4.279,   -4.459,   -4.494, 
Cup-2-3_200,  243.9,   7.6,    0.541,    -0.236,   -0.481,    0.071, 
J99-3-2_200,  132.1,  35.2,    0.734,    -0.402,    0.445,    0.423, 
J99-4-3_200,  314.4,  -35.0,    0.771,     0.442,   -0.452,   -0.442, 
J99-3-3_200,  310.5,  -34.7,    1.449,     0.774,   -0.906,   -0.825, 
Cup-1-1_200,  299.3,  -34.0,    4.946,     2.005,   -3.579,   -2.762, 
J99-2-2_200,  319.9,  -31.4,    0.585,     0.382,   -0.322,   -0.305, 
J99-4-4_200,  312.8,  -34.4,    0.900,     0.505,   -0.544,   -0.508, 
J99-3-4_200,  127.2,  35.4,    0.768,    -0.378,    0.498,    0.445, 
J99-1-1_200,  296.0,  -21.0,    0.162,     0.066,   -0.136,   -0.058, 
J99-3-1_200,  317.8,  -34.3,    0.401,     0.246,   -0.222,   -0.226, 
Cup-2-2_200,  309.5,  -34.7,    4.436,     2.321,   -2.812,   -2.527, 
J99-2-3_200,  154.1,  33.8,    1.630,    -1.218,    0.591,    0.906,  
Cup-2-2_250,  306.5,  -35.3,    3.104,     1.507,   -2.035,   -1.794, 
J99-2-3_250,  163.6,  33.5,    0.888,    -0.710,    0.209,    0.490, 
J99-3-4_250,  128.9,  36.3,    0.545,    -0.276,    0.342,    0.322, 
J99-3-1_250,  312.6,  -37.5,    0.210,     0.113,   -0.123,   -0.128, 
J99-4-2_250,  309.0,  -35.1,    0.496,     0.256,   -0.315,   -0.286, 
J99-4-3_250,  316.8,  -35.8,    0.545,     0.322,   -0.302,   -0.319, 
Cup-1-1_250,  300.6,  -34.0,    4.119,     1.740,   -2.938,   -2.304, 
J99-4-4_250,  311.5,  -35.8,    0.864,     0.465,   -0.525,   -0.505, 
J99-1-1_250,  297.1,  -30.7,    0.169,     0.066,   -0.129,   -0.086, 
J99-2-1_250,  283.7,  -27.4,    0.520,     0.110,   -0.448,   -0.239, 
J99-1-3_250,  311.8,  -34.2,    1.512,     0.833,   -0.933,   -0.850, 
J99-4-1_250,  310.1,  -34.3,    0.699,     0.372,   -0.442,   -0.393, 
J99-1-4_250,  282.5,  -17.7,    0.339,     0.070,   -0.315,   -0.103, 
Cup-1-3_250,  314.6,  -35.8,    6.972,     3.967,   -4.027,   -4.080, 
J99-3-2_250,  133.8,  35.5,    0.701,    -0.395,    0.412,    0.407, 
J99-3-3_250,  311.0,  -34.0,    1.203,     0.654,   -0.754,   -0.672, 
J99-2-2_250,  315.3,  -32.1,    0.557,     0.335,   -0.332,   -0.295, 
Cup-2-3_250,  227.5,   2.2,    0.477,    -0.322,   -0.352,    0.018, 
Cup-1-2_250,  309.1,  -35.7,    7.081,     3.625,   -4.462,   -4.133, 
Cup-2-1_250,  311.7,  -35.8,    1.470,     0.793,   -0.890,   -0.860, 
J99-1-2_250,  312.2,  -34.4,    2.545,     1.411,   -1.554,   -1.439, 
