tab 	samples
azimuth	bed_dip	bed_dip_direction	citations	dip	sample	site
0.0	0	90	This study	0.0	318-u1356a-68r-5-w-5	318-u1356a-68r-5-w-5
0.0	0	90	This study	0.0	318-u1356a-70r-2-w-73	318-u1356a-70r-2-w-73
0.0	0	90	This study	0.0	318-u1356a-68r-6-w-98	318-u1356a-68r-6-w-98
0.0	0	90	This study	0.0	318-u1356a-69r-1-w-70	318-u1356a-69r-1-w-70
0.0	0	90	This study	0.0	318-u1356a-69r-2-w-106	318-u1356a-69r-2-w-106
0.0	0	90	This study	0.0	318-u1356a-69r-3-w-45	318-u1356a-69r-3-w-45
0.0	0	90	This study	0.0	318-u1356a-69r-4-w-122	318-u1356a-69r-4-w-122
0.0	0	90	This study	0.0	318-u1356a-69r-5-w-87	318-u1356a-69r-5-w-87
0.0	0	90	This study	0.0	318-u1356a-69r-6-w-58	318-u1356a-69r-6-w-58
0.0	0	90	This study	0.0	318-u1356a-70r-1-w-42	318-u1356a-70r-1-w-42
0.0	0	90	This study	0.0	318-u1356a-70r-3-w-54	318-u1356a-70r-3-w-54
0.0	0	90	This study	0.0	318-u1356a-70r-4-w-13	318-u1356a-70r-4-w-13
0.0	0	90	This study	0.0	318-u1356a-71r-1-w-85	318-u1356a-71r-1-w-85
0.0	0	90	This study	0.0	318-u1356a-71r-3-w-73	318-u1356a-71r-3-w-73
0.0	0	90	This study	0.0	318-u1356a-71r-4-w-61	318-u1356a-71r-4-w-61
0.0	0	90	This study	0.0	318-u1356a-71r-5-w-95	318-u1356a-71r-5-w-95
0.0	0	90	This study	0.0	318-u1356a-72r-1-w-91	318-u1356a-72r-1-w-91
0.0	0	90	This study	0.0	318-u1356a-72r-2-w-129	318-u1356a-72r-2-w-129
0.0	0	90	This study	0.0	318-u1356a-72r-3-w-72	318-u1356a-72r-3-w-72
0.0	0	90	This study	0.0	318-u1356a-72r-4-w-86	318-u1356a-72r-4-w-86
0.0	0	90	This study	0.0	318-u1356a-72r-5-w-140	318-u1356a-72r-5-w-140
0.0	0	90	This study	0.0	318-u1356a-72r-6-w-4	318-u1356a-72r-6-w-4
0.0	0	90	This study	0.0	318-u1356a-73r-3-w-74	318-u1356a-73r-3-w-74
0.0	0	90	This study	0.0	318-u1356a-73r-4-w-38	318-u1356a-73r-4-w-38
0.0	0	90	This study	0.0	318-u1356a-73r-1-w-93	318-u1356a-73r-1-w-93
0.0	0	90	This study	0.0	318-u1356a-73r-5-w-23	318-u1356a-73r-5-w-23
0.0	0	90	This study	0.0	318-u1356a-75r-1-w-124	318-u1356a-75r-1-w-124
0.0	0	90	This study	0.0	318-u1356a-75r-3-w-30	318-u1356a-75r-3-w-30
0.0	0	90	This study	0.0	318-u1356a-75r-4-w-65	318-u1356a-75r-4-w-65
