tab 	sites
citations	description	location	site
This study	s	U1356A	318-u1356a-88r-1-w-36
This study	s	U1356A	318-u1356a-88r-2-w-52
This study	s	U1356A	318-u1356a-89r-1-w-89
This study	s	U1356A	318-u1356a-89r-2-w-71
This study	s	U1356A	318-u1356a-89r-3-w-121
This study	s	U1356A	318-u1356a-89r-4-w-57
This study	s	U1356A	318-u1356a-89r-5-w-76
This study	s	U1356A	318-u1356a-91r-2-w-32
This study	s	U1356A	318-u1356a-91r-3-w-36
This study	s	U1356A	318-u1356a-91r-4-w-1
This study	s	U1356A	318-u1356a-91r-5-w-5
This study	s	U1356A	318-u1356a-91r-6-w-48
This study	s	U1356A	318-u1356a-91r-7-w-25
This study	s	U1356A	318-u1356a-92r-1-w-23
This study	s	U1356A	318-u1356a-92r-2-w-9
This study	s	U1356A	318-u1356a-92r-3-w-11
This study	s	U1356A	318-u1356a-94r-2-w-25
This study	s	U1356A	318-u1356a-94r-3-w-19
This study	s	U1356A	318-u1356a-98r-2-w-100
This study	s	U1356A	318-u1356a-98r-4-w-24
This study	s	U1356A	318-u1356a-99r-1-w-28
This study	s	U1356A	principa318-u1356a-103r-3-w-13
This study	s	U1356A	318-u1356a-103r-1-w-66
This study	s	U1356A	318-u1356a-103r-4-w-125
This study	s	U1356A	318-u1356a-104r-5-w-131
This study	s	U1356A	318-u1356a-106r-2-w-61
