tab 	measurements
analysts	citations	description	experiment	instrument_codes	method_codes	quality	specimen	standard	susc_chi_volume
	This study	Bulk sucsecptibility measurement	318-u1356a-14r-1-w-103_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-14r-1-w-103	u	403.1E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-14r-1-w-103_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-14r-1-w-103	u	413.9E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-18r-2-w-128_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-18r-2-w-128	u	214.0E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-18r-2-w-128_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-18r-2-w-128	u	213.4E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-18r-2-w-128_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-18r-2-w-128	u	214.3E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-18r-2-w-128_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-18r-2-w-128	u	213.5E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-18r-2-w-128_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-18r-2-w-128	u	213.9E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-18r-3-w-19_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-18r-3-w-19	u	214.0E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-18r-3-w-19_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-18r-3-w-19	u	346.4E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-18r-3-w-19_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-18r-3-w-19	u	424.9E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-18r-3-w-19_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-18r-3-w-19	u	430.9E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-18r-3-w-19_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-18r-3-w-19	u	470.9E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-14r-2-w-52_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-14r-2-w-52	u	289.5E-06
	This study	Bulk sucsecptibility measurement	318-u1356a-14r-2-w-52_LP-AN-MS		LP-X:AE-H:LP-AN-MS	g	318-u1356a-14r-2-w-52	u	307.1E-06
