tab 	er_samples
er_citation_names	er_expedition_name	er_location_name	er_sample_alternatives	er_sample_name	er_site_name	magic_method_codes	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_class	sample_composite_depth	sample_core_depth	sample_date	sample_dip	sample_lat	sample_lithology	sample_lon	sample_type
This study	318	U1359A		318-U1359A-002H_2A-1.4	318-U1359A-002H_2A-1.4	FS-C-DRILL-IODP:SO-V	0			Sedimentary	5.12	3.5		0	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A		318-U1359A-002H_2A-1.45	318-U1359A-002H_2A-1.45	FS-C-DRILL-IODP:SO-V	0			Sedimentary	5.17	3.55		0	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A		318-U1359A-002H_2A-1.5	318-U1359A-002H_2A-1.5	FS-C-DRILL-IODP:SO-V	0			Sedimentary	5.22	3.6		0	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A		318-U1359A-002H_3A-0	318-U1359A-002H_3A-0	FS-C-DRILL-IODP:SO-V	0			Sedimentary	5.22	3.6		0	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A		318-U1359A-002H_3A-0.05	318-U1359A-002H_3A-0.05	FS-C-DRILL-IODP:SO-V	0			Sedimentary	5.27	3.65		0	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A		318-U1359A-002H_3A-0.1	318-U1359A-002H_3A-0.1	FS-C-DRILL-IODP:SO-V	0			Sedimentary	5.32	3.7		0	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A		318-U1359A-002H_3A-0.15	318-U1359A-002H_3A-0.15	FS-C-DRILL-IODP:SO-V	0			Sedimentary	5.37	3.75		0	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A		318-U1359A-002H_3A-0.2	318-U1359A-002H_3A-0.2	FS-C-DRILL-IODP:SO-V	0			Sedimentary	5.42	3.8		0	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A		318-U1359A-002H_3A-0.25	318-U1359A-002H_3A-0.25	FS-C-DRILL-IODP:SO-V	0			Sedimentary	5.47	3.85		0	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A		318-U1359A-002H_3A-0.3	318-U1359A-002H_3A-0.3	FS-C-DRILL-IODP:SO-V	0			Sedimentary	5.52	3.9		0	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A		318-U1359A-002H_3A-0.35	318-U1359A-002H_3A-0.35	FS-C-DRILL-IODP:SO-V	0			Sedimentary	5.57	3.95		0	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A		318-U1359A-002H_3A-0.4	318-U1359A-002H_3A-0.4	FS-C-DRILL-IODP:SO-V	0			Sedimentary	5.62	4		0	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A		318-U1359A-002H_3A-0.45	318-U1359A-002H_3A-0.45	FS-C-DRILL-IODP:SO-V	0			Sedimentary	5.67	4.05		0	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A		318-U1359A-002H_3A-0.5	318-U1359A-002H_3A-0.5	FS-C-DRILL-IODP:SO-V	0			Sedimentary	5.72	4.1		0	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A		318-U1359A-002H_3A-0.55	318-U1359A-002H_3A-0.55	FS-C-DRILL-IODP:SO-V	0			Sedimentary	5.77	4.15		0	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A		318-U1359A-002H_3A-0.6	318-U1359A-002H_3A-0.6	FS-C-DRILL-IODP:SO-V	0			Sedimentary	5.82	4.2		0	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A		318-U1359A-002H_3A-0.65	318-U1359A-002H_3A-0.65	FS-C-DRILL-IODP:SO-V	0			Sedimentary	5.87	4.25		0	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A		318-U1359A-002H_3A-0.7	318-U1359A-002H_3A-0.7	FS-C-DRILL-IODP:SO-V	0			Sedimentary	5.92	4.3		0	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A		318-U1359A-002H_3A-0.75	318-U1359A-002H_3A-0.75	FS-C-DRILL-IODP:SO-V	0			Sedimentary	5.97	4.35		0	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A		318-U1359A-002H_3A-0.8	318-U1359A-002H_3A-0.8	FS-C-DRILL-IODP:SO-V	0			Sedimentary	6.02	4.4		0	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A		318-U1359A-002H_3A-0.85	318-U1359A-002H_3A-0.85	FS-C-DRILL-IODP:SO-V	0			Sedimentary	6.07	4.45		0	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A		318-U1359A-002H_3A-0.9	318-U1359A-002H_3A-0.9	FS-C-DRILL-IODP:SO-V	0			Sedimentary	6.12	4.5		0	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A		318-U1359A-002H_3A-0.95	318-U1359A-002H_3A-0.95	FS-C-DRILL-IODP:SO-V	0			Sedimentary	6.17	4.55		0	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A		318-U1359A-002H_3A-1	318-U1359A-002H_3A-1	FS-C-DRILL-IODP:SO-V	0			Sedimentary	6.22	4.6		0	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A		318-U1359A-002H_3A-1.05	318-U1359A-002H_3A-1.05	FS-C-DRILL-IODP:SO-V	0			Sedimentary	6.27	4.65		0	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A		318-U1359A-002H_3A-1.1	318-U1359A-002H_3A-1.1	FS-C-DRILL-IODP:SO-V	0			Sedimentary	6.32	4.7		0	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A		318-U1359A-002H_3A-1.15	318-U1359A-002H_3A-1.15	FS-C-DRILL-IODP:SO-V	0			Sedimentary	6.37	4.75		0	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A		318-U1359A-002H_3A-1.2	318-U1359A-002H_3A-1.2	FS-C-DRILL-IODP:SO-V	0			Sedimentary	6.42	4.8		0	-64.904	Not Specified	143.9614	Sediment Layer
This study	318	U1359A		318-U1359A-002H_3A-1.25	318-U1359A-002H_3A-1.25	FS-C-DRILL-IODP:SO-V	0			Sedimentary	6.47	4.85		0	-64.904	Not Specified	143.9614	Sediment Layer
