isaf2.fix       
LAT:   .00  LON:    .00
    ID     TREAT  I  CD    J    CDECL CINCL  GDECL GINCL  BDECL BINCL  SUSC  M/V
is032c1       .0  SD  1 273.500 164.8 -21.1  341.9  47.2  336.5  48.1    .0   .0
is032c1      2.5  SD  1 271.800 165.3 -21.2  342.6  47.3  337.2  48.2    .0   .0
is032c1      5.0  SD  1 262.700 164.5 -22.3  342.1  46.0  337.0  46.9    .0   .0
is032c1      7.5  SD  1 249.300 164.6 -23.3  342.8  45.1  337.8  46.1    .0   .0
is032c1     10.0  SD  1 235.600 164.2 -24.3  342.8  44.0  338.0  45.0    .0   .0
is032c1     12.5  SD  1 220.300 164.8 -25.0  343.9  43.6  339.1  44.7    .0   .0
is032c1     15.0  SD  1 204.200 164.1 -25.6  343.3  42.8  338.7  43.8    .0   .0
is032c1     20.0  SD  1 171.100 163.6 -26.3  343.1  42.0  338.6  43.0    .0   .0
is032c1     25.0  SD  1 140.200 163.5 -26.9  343.3  41.4  338.9  42.4    .0   .0
is032c1     30.0  SD  1 117.100 163.2 -27.6  343.3  40.6  339.0  41.7    .0   .0
is032c1     40.0  SD  0 87.9711 161.1 -28.7  341.6  38.9  337.5  39.8    .0   .0
is032c1     60.0  SD  0 63.3314 158.6 -29.7  339.6  37.1  335.8  37.9    .0   .0
is032c1     80.0  SD  2 50.1947 154.4 -30.3  335.9  34.9  332.4  35.3    .0   .0
is032c1    100.0  SD  2 41.7075 150.8 -30.5  332.9  33.1  329.6  33.3    .0   .0
is032c1    120.0  SD  1 36.4344 146.1 -32.0  330.1  29.5  327.2  29.5    .0   .0
is032c1    150.0  SD  0 31.0280 141.0 -32.2  326.4  26.6  323.9  26.3    .0   .0
is032c1    180.0  SD  2 26.9521 134.7 -30.8  321.1  23.9  319.0  23.1    .0   .0

is032d2       .0  SD  1 250.400 184.6 -12.9    7.0  49.9    1.9  52.8    .0   .0
is032d2      2.5  SD  1 249.500 184.6 -13.0    6.9  49.8    1.9  52.7    .0   .0
is032d2      5.0  SD  1 246.300 184.9 -13.3    7.3  49.4    2.4  52.4    .0   .0
is032d2      7.5  SD  0 242.000 184.5 -13.8    6.7  49.0    1.7  51.9    .0   .0
is032d2     10.0  SD  1 236.000 184.4 -14.3    6.4  48.5    1.6  51.4    .0   .0
is032d2     12.5  SD  0 229.800 185.2 -14.9    7.5  47.8    2.8  50.7    .0   .0
is032d2     15.0  SD  0 223.700 185.5 -15.3    7.8  47.4    3.2  50.3    .0   .0
is032d2     20.0  SD  0 207.600 183.7 -15.9    5.2  46.9    0.5  49.7    .0   .0
is032d2     25.0  SD  0 189.000 183.2 -16.5    4.5  46.4  359.8  49.1    .0   .0
is032d2     30.0  SD  0 171.100 184.1 -16.9    5.6  45.9    1.2  48.7    .0   .0
is032d2     40.0  SD  0 140.243 183.0 -17.6    4.1  45.3  359.6  48.0    .0   .0
is032d2     60.0  SD  0 109.845 181.9 -18.0    2.6  45.0  358.1  47.6    .0   .0
is032d2     80.0  SD  1 92.2734 181.0 -18.3    1.3  44.7  356.9  47.2    .0   .0
is032d2    100.0  SD  0 66.3768 178.2 -18.2  357.6  44.8  353.0  47.0    .0   .0
