tab 	samples
azimuth	citations	dip	method_codes	orientation_quality	sample	sample_alternatives	site	timestamp
0	This study	0	FS-C-DRILL-IODP:SO-V	g	XXX-UTESTA-002H_4A-115		XXX-UTESTA-002H_4A-115	
0	This study	0	FS-C-DRILL-IODP:SO-V	g	XXX-UTESTA-002H_4A-120		XXX-UTESTA-002H_4A-120	
0	This study	0	FS-C-DRILL-IODP:SO-V	g	XXX-UTESTA-002H_4A-15		XXX-UTESTA-002H_4A-15	
0	This study	0	FS-C-DRILL-IODP:SO-V	g	XXX-UTESTA-002H_4A-20		XXX-UTESTA-002H_4A-20	
0	This study	0	FS-C-DRILL-IODP:SO-V	g	XXX-UTESTA-002H_4A-25		XXX-UTESTA-002H_4A-25	
0	This study	0	FS-C-DRILL-IODP:SO-V	g	XXX-UTESTA-002H_4A-30		XXX-UTESTA-002H_4A-30	
0	This study	0	FS-C-DRILL-IODP:SO-V	g	XXX-UTESTA-002H_4A-35		XXX-UTESTA-002H_4A-35	
0	This study	0	FS-C-DRILL-IODP:SO-V	g	XXX-UTESTA-002H_4A-40		XXX-UTESTA-002H_4A-40	
0	This study	0	FS-C-DRILL-IODP:SO-V	g	XXX-UTESTA-002H_4A-45		XXX-UTESTA-002H_4A-45	
0	This study	0	FS-C-DRILL-IODP:SO-V	g	XXX-UTESTA-002H_4A-5		XXX-UTESTA-002H_4A-5	
0	This study	0	FS-C-DRILL-IODP:SO-V	g	XXX-UTESTA-002H_4A-50		XXX-UTESTA-002H_4A-50	
0	This study	0	FS-C-DRILL-IODP:SO-V	g	XXX-UTESTA-002H_4A-55		XXX-UTESTA-002H_4A-55	
0	This study	0	FS-C-DRILL-IODP:SO-V	g	XXX-UTESTA-002H_4A-60		XXX-UTESTA-002H_4A-60	
0	This study	0	FS-C-DRILL-IODP:SO-V	g	XXX-UTESTA-002H_4A-65		XXX-UTESTA-002H_4A-65	
0	This study	0	FS-C-DRILL-IODP:SO-V	g	XXX-UTESTA-002H_4A-70		XXX-UTESTA-002H_4A-70	
0	This study	0	FS-C-DRILL-IODP:SO-V	g	XXX-UTESTA-002H_4A-75		XXX-UTESTA-002H_4A-75	
0	This study	0	FS-C-DRILL-IODP:SO-V	g	XXX-UTESTA-002H_4A-80		XXX-UTESTA-002H_4A-80	
0	This study	0	FS-C-DRILL-IODP:SO-V	g	XXX-UTESTA-002H_4A-85		XXX-UTESTA-002H_4A-85	
0	This study	0	FS-C-DRILL-IODP:SO-V	g	XXX-UTESTA-002H_4A-90		XXX-UTESTA-002H_4A-90	
0	This study	0	FS-C-DRILL-IODP:SO-V	g	XXX-UTESTA-002H_4A-95		XXX-UTESTA-002H_4A-95	
0	This study	0	FS-C-DRILL-IODP:SO-V	g	XXX-UTESTA-003H_1A-0		XXX-UTESTA-003H_1A-0	
0	This study	0	FS-C-DRILL-IODP:SO-V	g	XXX-UTESTA-003H_1A-10		XXX-UTESTA-003H_1A-10	
0	This study	0	FS-C-DRILL-IODP:SO-V	g	XXX-UTESTA-003H_1A-100		XXX-UTESTA-003H_1A-100	
