tab 	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	external_database_ids	instrument_codes	magn_moment	magn_volume	meas_field_ac	meas_n_orient	meas_temp	measurement	method_codes	quality	software_packages	specimen	standard	susc_chi_volume	timestamp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp
	This study	sample orientation: Top - Towards	0	286.6	73.8	XXX-UTESTA-8H-2_W_64:LP-DIR-AF		IODP-SRM:IODP-SRM-AF	1.375e-08				2.730e+02	3	LT-AF-Z:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-8H-2_W_64	u			1.500e-02	0	0	0	2.730e+02
	This study	average of multiple measurements	63.6	359.7	46.6	XXX-UTESTA-8H-2_W_64:LP-DIR-AF		IODP-SRM:IODP-SRM-AF	3.661e-09			3.0	2.730e+02	4	LT-AF-Z:DE-VM:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-8H-2_W_64	u			2.000e-02	0	0	0	2.730e+02
	This study	average of multiple measurements	67.3	358.7	18.6	XXX-UTESTA-8H-2_W_64:LP-DIR-AF		IODP-SRM:IODP-SRM-AF	2.600e-09			3.0	2.730e+02	5	LT-AF-Z:DE-VM:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-8H-2_W_64	u			2.500e-02	0	0	0	2.730e+02
	This study	sample orientation: Top - Towards	0	289.4	-7.9	XXX-UTESTA-8H-2_W_64:LP-DIR-AF		IODP-SRM:IODP-SRM-AF	2.791e-09				2.730e+02	6	LT-AF-Z:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-8H-2_W_64	u			3.000e-02	0	0	0	2.730e+02
	This study	average of multiple measurements	62.6	347.3	-2.1	XXX-UTESTA-8H-2_W_64:LP-DIR-AF		IODP-SRM:IODP-SRM-AF	2.567e-09			3.0	2.730e+02	7	LT-AF-Z:DE-VM:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-8H-2_W_64	u			3.500e-02	0	0	0	2.730e+02
	This study	average of multiple measurements	57.1	348.2	-9.9	XXX-UTESTA-8H-2_W_64:LP-DIR-AF		IODP-SRM:IODP-SRM-AF	2.797e-09			3.0	2.730e+02	8	LT-AF-Z:DE-VM:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-8H-2_W_64	u			4.000e-02	0	0	0	2.730e+02
	This study	average of multiple measurements	56.6	292.1	-43.9	XXX-UTESTA-8H-2_W_64:LP-DIR-AF		IODP-SRM:IODP-SRM-AF	3.287e-09			2.0	2.730e+02	9	LT-AF-Z:DE-VM:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-8H-2_W_64	u			5.000e-02	0	0	0	2.730e+02
	This study	average of multiple measurements	54.3	326.2	1.6	XXX-UTESTA-8H-2_W_64:LP-DIR-AF		IODP-SRM:IODP-SRM-AF	7.331e-09			2.0	2.730e+02	10	LT-AF-Z:DE-VM:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-8H-2_W_64	u			6.000e-02	0	0	0	2.730e+02
	This study	sample orientation: Top - Towards	0	282.1	79.2	XXX-UTESTA-8H-3_W_81:LP-DIR-AF		IODP-SRM	3.190e-08				2.730e+02	1	LT-NO:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-8H-3_W_81	u			0.000e+00	0	0	0	2.730e+02
	This study	sample orientation: Top - Towards	0	269.6	50	XXX-UTESTA-8H-3_W_81:LP-DIR-AF		IODP-SRM:IODP-SRM-AF	1.367e-08				2.730e+02	2	LT-AF-Z:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-8H-3_W_81	u			1.000e-02	0	0	0	2.730e+02
	This study	sample orientation: Top - Towards	0	264.3	57.3	XXX-UTESTA-8H-3_W_81:LP-DIR-AF		IODP-SRM:IODP-SRM-AF	9.580e-09				2.730e+02	3	LT-AF-Z:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-8H-3_W_81	u			1.500e-02	0	0	0	2.730e+02
	This study	average of multiple measurements	83.6	330.8	-21.6	XXX-UTESTA-8H-3_W_81:LP-DIR-AF		IODP-SRM:IODP-SRM-AF	2.189e-09			3.0	2.730e+02	4	LT-AF-Z:DE-VM:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-8H-3_W_81	u			2.000e-02	0	0	0	2.730e+02
	This study	average of multiple measurements	79.0	335.9	-25.5	XXX-UTESTA-8H-3_W_81:LP-DIR-AF		IODP-SRM:IODP-SRM-AF	2.406e-09			3.0	2.730e+02	5	LT-AF-Z:DE-VM:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-8H-3_W_81	u			2.500e-02	0	0	0	2.730e+02
	This study	sample orientation: Top - Towards	0	267.7	9.2	XXX-UTESTA-8H-3_W_81:LP-DIR-AF		IODP-SRM:IODP-SRM-AF	2.903e-09				2.730e+02	6	LT-AF-Z:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-8H-3_W_81	u			3.000e-02	0	0	0	2.730e+02
	This study	average of multiple measurements	80.2	339.9	-12.0	XXX-UTESTA-8H-3_W_81:LP-DIR-AF		IODP-SRM:IODP-SRM-AF	1.741e-09			3.0	2.730e+02	7	LT-AF-Z:DE-VM:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-8H-3_W_81	u			3.500e-02	0	0	0	2.730e+02
	This study	average of multiple measurements	76.7	344.8	-14.2	XXX-UTESTA-8H-3_W_81:LP-DIR-AF		IODP-SRM:IODP-SRM-AF	1.860e-09			3.0	2.730e+02	8	LT-AF-Z:DE-VM:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-8H-3_W_81	u			4.000e-02	0	0	0	2.730e+02
	This study	average of multiple measurements	44.3	275.7	-38.7	XXX-UTESTA-8H-3_W_81:LP-DIR-AF		IODP-SRM:IODP-SRM-AF	1.605e-09			2.0	2.730e+02	9	LT-AF-Z:DE-VM:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-8H-3_W_81	u			5.000e-02	0	0	0	2.730e+02
	This study	average of multiple measurements	51.8	328.1	0.0	XXX-UTESTA-8H-3_W_81:LP-DIR-AF		IODP-SRM:IODP-SRM-AF	3.720e-09			2.0	2.730e+02	10	LT-AF-Z:DE-VM:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-8H-3_W_81	u			6.000e-02	0	0	0	2.730e+02
	This study	sample orientation: Top - Towards	0	1.5	58.9	XXX-UTESTA-8H-4_W_89:LP-DIR-AF		IODP-SRM	1.493e-08				2.730e+02	1	LT-NO:LP-DIR-AF	g	pmagpy-3.2.1	XXX-UTESTA-8H-4_W_89	u			0.000e+00	0	0	0	2.730e+02
