tab 	measurements
experiment	instrument_codes	magn_mass	magn_r2_det	meas_field_dc	meas_temp	measurement	method_codes	quality	sequence	specimen	standard	timestamp	treat_dc_field
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1918		0.9583	300.0	IRM-VSM3-LP-HYS-218845-11	LP-HYS	g	12421	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.191		0.9533	300.0	IRM-VSM3-LP-HYS-218845-12	LP-HYS	g	12422	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1901		0.9482	300.0	IRM-VSM3-LP-HYS-218845-13	LP-HYS	g	12423	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1893		0.9432	300.0	IRM-VSM3-LP-HYS-218845-14	LP-HYS	g	12424	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1885		0.9383	300.0	IRM-VSM3-LP-HYS-218845-15	LP-HYS	g	12425	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1877		0.9333	300.0	IRM-VSM3-LP-HYS-218845-16	LP-HYS	g	12426	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1868		0.9282	300.0	IRM-VSM3-LP-HYS-218845-17	LP-HYS	g	12427	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.186		0.9232	300.0	IRM-VSM3-LP-HYS-218845-18	LP-HYS	g	12428	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1852		0.9182	300.0	IRM-VSM3-LP-HYS-218845-19	LP-HYS	g	12429	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1844		0.9133	300.0	IRM-VSM3-LP-HYS-218845-20	LP-HYS	g	1243	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1836		0.9083	300.0	IRM-VSM3-LP-HYS-218845-21	LP-HYS	g	12431	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1827		0.9032	300.0	IRM-VSM3-LP-HYS-218845-22	LP-HYS	g	12432	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1819		0.8983	300.0	IRM-VSM3-LP-HYS-218845-23	LP-HYS	g	12433	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1811		0.8933	300.0	IRM-VSM3-LP-HYS-218845-24	LP-HYS	g	12434	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1803		0.8883	300.0	IRM-VSM3-LP-HYS-218845-25	LP-HYS	g	12435	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1794		0.8832	300.0	IRM-VSM3-LP-HYS-218845-26	LP-HYS	g	12436	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1786		0.8782	300.0	IRM-VSM3-LP-HYS-218845-27	LP-HYS	g	12437	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1778		0.8733	300.0	IRM-VSM3-LP-HYS-218845-28	LP-HYS	g	12438	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.177		0.8682	300.0	IRM-VSM3-LP-HYS-218845-29	LP-HYS	g	12439	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1761		0.8632	300.0	IRM-VSM3-LP-HYS-218845-30	LP-HYS	g	1244	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1753		0.8582	300.0	IRM-VSM3-LP-HYS-218845-31	LP-HYS	g	12441	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1745		0.8532	300.0	IRM-VSM3-LP-HYS-218845-32	LP-HYS	g	12442	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1737		0.8482	300.0	IRM-VSM3-LP-HYS-218845-33	LP-HYS	g	12443	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1728		0.8431	300.0	IRM-VSM3-LP-HYS-218845-34	LP-HYS	g	12444	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.172		0.8381	300.0	IRM-VSM3-LP-HYS-218845-35	LP-HYS	g	12445	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1712		0.8332	300.0	IRM-VSM3-LP-HYS-218845-36	LP-HYS	g	12446	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1704		0.8283	300.0	IRM-VSM3-LP-HYS-218845-37	LP-HYS	g	12447	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1695		0.8232	300.0	IRM-VSM3-LP-HYS-218845-38	LP-HYS	g	12448	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1687		0.8181	300.0	IRM-VSM3-LP-HYS-218845-39	LP-HYS	g	12449	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1679		0.8131	300.0	IRM-VSM3-LP-HYS-218845-40	LP-HYS	g	1245	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1671		0.8082	300.0	IRM-VSM3-LP-HYS-218845-41	LP-HYS	g	12451	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1662		0.8031	300.0	IRM-VSM3-LP-HYS-218845-42	LP-HYS	g	12452	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1654		0.7981	300.0	IRM-VSM3-LP-HYS-218845-43	LP-HYS	g	12453	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1646		0.7931	300.0	IRM-VSM3-LP-HYS-218845-44	LP-HYS	g	12454	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1638		0.7881	300.0	IRM-VSM3-LP-HYS-218845-45	LP-HYS	g	12455	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1629		0.7831	300.0	IRM-VSM3-LP-HYS-218845-46	LP-HYS	g	12456	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1621		0.778	300.0	IRM-VSM3-LP-HYS-218845-47	LP-HYS	g	12457	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1613		0.773	300.0	IRM-VSM3-LP-HYS-218845-48	LP-HYS	g	12458	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1605		0.7681	300.0	IRM-VSM3-LP-HYS-218845-49	LP-HYS	g	12459	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1596		0.763	300.0	IRM-VSM3-LP-HYS-218845-50	LP-HYS	g	1246	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1588		0.758	300.0	IRM-VSM3-LP-HYS-218845-51	LP-HYS	g	12461	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.158		0.753	300.0	IRM-VSM3-LP-HYS-218845-52	LP-HYS	g	12462	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1571		0.7481	300.0	IRM-VSM3-LP-HYS-218845-53	LP-HYS	g	12463	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1563		0.7432	300.0	IRM-VSM3-LP-HYS-218845-54	LP-HYS	g	12464	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1555		0.7381	300.0	IRM-VSM3-LP-HYS-218845-55	LP-HYS	g	12465	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1547		0.7331	300.0	IRM-VSM3-LP-HYS-218845-56	LP-HYS	g	12466	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1538		0.7281	300.0	IRM-VSM3-LP-HYS-218845-57	LP-HYS	g	12467	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.153		0.7231	300.0	IRM-VSM3-LP-HYS-218845-58	LP-HYS	g	12468	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1522		0.7181	300.0	IRM-VSM3-LP-HYS-218845-59	LP-HYS	g	12469	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1513		0.713	300.0	IRM-VSM3-LP-HYS-218845-60	LP-HYS	g	1247	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1505		0.708	300.0	IRM-VSM3-LP-HYS-218845-61	LP-HYS	g	12471	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1497		0.7031	300.0	IRM-VSM3-LP-HYS-218845-62	LP-HYS	g	12472	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1489		0.698	300.0	IRM-VSM3-LP-HYS-218845-63	LP-HYS	g	12473	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.148		0.693	300.0	IRM-VSM3-LP-HYS-218845-64	LP-HYS	g	12474	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1472		0.688	300.0	IRM-VSM3-LP-HYS-218845-65	LP-HYS	g	12475	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1464		0.6831	300.0	IRM-VSM3-LP-HYS-218845-66	LP-HYS	g	12476	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1455		0.678	300.0	IRM-VSM3-LP-HYS-218845-67	LP-HYS	g	12477	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1447		0.673	300.0	IRM-VSM3-LP-HYS-218845-68	LP-HYS	g	12478	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1439		0.668	300.0	IRM-VSM3-LP-HYS-218845-69	LP-HYS	g	12479	NED1-5c	u	2020:01:06:10:14:00.00	
IRM-VSM3-LP-HYS-218845	IRM-VSM3	0.1431		0.663	300.0	IRM-VSM3-LP-HYS-218845-70	LP-HYS	g	1248	NED1-5c	u	2020:01:06:10:14:00.00	
